has_3ds_auth,has_delivery_proof,has_avs_cvv_match,has_ip_device_fingerprint,has_prior_comms,has_signed_receipt,has_usage_logs,days_remaining,days_since_transaction,repeat_dispute_count,transaction_amount_inr,evidence_completeness_score,outcome,fraud_code_3ds,evidence_density,deadline_urgency,high_value_flag,repeat_fraud_signal,full_evidence_with_comms,merchant_category_woe,reason_code_amex_A01,reason_code_amex_A02,reason_code_amex_A08,reason_code_amex_C02,reason_code_amex_C04,reason_code_amex_C05,reason_code_amex_C08,reason_code_amex_C14,reason_code_amex_C18,reason_code_amex_C28,reason_code_amex_C31,reason_code_amex_F10,reason_code_amex_F14,reason_code_amex_F24,reason_code_amex_F29,reason_code_amex_F30,reason_code_amex_F31,reason_code_amex_M10,reason_code_amex_M49,reason_code_amex_P05,reason_code_amex_P08,reason_code_amex_R03,reason_code_amex_R13,reason_code_disc_AA,reason_code_disc_AP,reason_code_disc_CD,reason_code_disc_DP,reason_code_disc_IC,reason_code_disc_RG,reason_code_disc_RM,reason_code_disc_UA,reason_code_disc_UD,reason_code_disc_nan,reason_code_mc_4808,reason_code_mc_4812,reason_code_mc_4834,reason_code_mc_4837,reason_code_mc_4841,reason_code_mc_4850,reason_code_mc_4853,reason_code_mc_4855,reason_code_mc_4863,reason_code_mc_4870,reason_code_mc_4871,reason_code_rupay_1062,reason_code_rupay_1065,reason_code_rupay_1085,reason_code_rupay_ru01,reason_code_rupay_ru02,reason_code_visa_10.1,reason_code_visa_10.2,reason_code_visa_10.3,reason_code_visa_10.4,reason_code_visa_10.5,reason_code_visa_11.1,reason_code_visa_11.2,reason_code_visa_11.3,reason_code_visa_12.1,reason_code_visa_12.5,reason_code_visa_12.6.1,reason_code_visa_13.1,reason_code_visa_13.2,reason_code_visa_13.3,reason_code_visa_13.4,reason_code_visa_13.5,reason_code_visa_13.6,reason_code_visa_13.7,reason_code_visa_13.8,reason_code_visa_13.9,network_amex,network_disc,network_mc,network_rupay,network_visa
0,0,1,1,0,0,1,0.7954545454545455,0.865546218487395,0.125,0.002817841164310523,2,1,0,0.42857142857142855,0.2045454545454545,0,0.4375,0,0.104974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,1,1,0,0,0,0.5909090909090909,0.4873949579831932,0.0,0.006493204756032487,2,1,0,0.42857142857142855,0.4090909090909091,0,1.0,0,0.023616,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,1,1,1,0,1,0.13636363636363635,0.1680672268907563,0.0,0.001804065146513273,2,1,1,0.8571428571428571,0.8636363636363636,0,1.0,1,-0.067801,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,1,1,0,0,1,0.1590909090909091,0.38655462184873945,0.0,0.06753031668585795,2,1,1,0.7142857142857142,0.8409090909090908,0,1.0,0,0.104974,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,1,1,1,0,1,0,0.20454545454545456,0.5126050420168067,0.5,0.17690697890151003,2,1,0,0.5714285714285714,0.7954545454545454,0,0.1,0,0.104974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,0,0,1,0,0,0.5454545454545455,0.49579831932773105,0.0,0.020669558549564985,2,1,1,0.42857142857142855,0.45454545454545453,0,1.0,1,-0.053963,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,0,0,1,0,1,1,0.7727272727272728,0.2857142857142857,0.25,0.010460990644358828,0,0,1,0.5714285714285714,0.22727272727272727,0,0.25,0,0.023616,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,0,0,0,0.7727272727272728,0.361344537815126,0.125,0.2971402018530859,2,1,1,0.42857142857142855,0.22727272727272727,0,0.4375,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,1,1,0,0,0.31818181818181823,0.7478991596638656,0.0,0.015531743053055585,2,1,1,0.42857142857142855,0.6818181818181819,0,1.0,1,-0.00596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,1,0,0,0,1,0.7954545454545455,0.10084033613445378,0.0,0.04657446343146842,1,1,1,0.5714285714285714,0.2045454545454545,0,1.0,0,0.023616,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,0,1,0,1,0.22727272727272727,0.9915966386554622,0.375,0.052101721427762926,0,0,0,0.42857142857142855,0.7727272727272727,0,0.15625,0,-0.00596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,0,0,0,0,0,0.8181818181818182,0.8067226890756303,0.0,0.05607478385345524,0,1,1,0.2857142857142857,0.18181818181818185,0,1.0,0,0.104974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,0,1,1,1,0,0.022727272727272728,0.016806722689075633,0.0,0.045636261045622475,2,0,1,0.7142857142857142,0.9772727272727273,0,1.0,1,-0.00596,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,1,1,1,0,0,0.9772727272727273,0.7478991596638656,1.0,0.03772417837079249,2,0,1,0.7142857142857142,0.02272727272727276,0,0.0,1,-0.00596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
0,1,0,1,1,0,0,0.34090909090909094,0.8067226890756303,0.0,0.09662207992592423,2,1,0,0.42857142857142855,0.6590909090909091,0,1.0,1,-0.053963,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,1,0,1,0,0,0.9090909090909092,0.2689075630252101,0.0,0.0992928588875187,2,1,0,0.42857142857142855,0.09090909090909093,0,1.0,1,0.104974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,1,0,0,0.022727272727272728,0.0,0.0,0.30978635981048724,2,1,0,0.42857142857142855,0.9772727272727273,0,1.0,1,-0.00596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,0,1,1,1,0.5227272727272727,0.9663865546218487,0.0,0.023991394137766988,2,1,1,0.8571428571428571,0.4772727272727273,0,1.0,1,0.104974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,1,0,0,0,0,0.7727272727272728,0.6638655462184874,1.0,0.026333495884726384,2,0,1,0.42857142857142855,0.22727272727272727,0,0.0,0,-0.00596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,1,0,1,0,0,0.4772727272727273,0.9915966386554622,0.0,0.121350657396982,2,1,1,0.5714285714285714,0.5227272727272727,0,1.0,1,0.104974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,0,1,1,1,0,1,0.4090909090909091,0.025210084033613446,0.0,0.1411883953624343,2,1,1,0.7142857142857142,0.5909090909090908,0,1.0,1,-0.067801,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,0,1,0,1,0,0.6818181818181819,0.8235294117647058,1.0,0.010652648098361467,0,0,0,0.2857142857142857,0.3181818181818182,0,0.0,0,-0.00596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,1,1,1,0,1,1,0.5227272727272727,0.9495798319327731,0.125,0.627801054115997,0,0,1,0.8571428571428571,0.4772727272727273,0,0.4375,0,-0.067801,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1,0,0,0,1,0,0,0.5681818181818182,0.8235294117647058,0.0,0.12873287359373897,2,1,1,0.2857142857142857,0.4318181818181819,0,1.0,1,-0.053963,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,1,0,0,1,0.31818181818181823,0.7647058823529411,0.125,0.07856832222281797,2,1,1,0.5714285714285714,0.6818181818181819,0,0.4375,0,-0.067801,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,1,0,0,1,0,0,0.31818181818181823,0.4453781512605042,0.0,0.05383923411911187,2,1,1,0.42857142857142855,0.6818181818181819,0,1.0,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
