reason_code,network,has_3ds_auth,has_delivery_proof,has_avs_cvv_match,has_ip_device_fingerprint,has_prior_comms,has_signed_receipt,has_usage_logs,days_remaining,days_since_transaction,repeat_dispute_count,transaction_amount_inr,merchant_category,evidence_completeness_score,outcome
mc_4850,mc,0,0,1,1,0,0,1,36,104,1,266.39,ecommerce,2,1
disc_DP,disc,0,1,1,1,0,0,0,27,59,0,482.32,saas,2,1
disc_RG,disc,1,1,1,1,1,0,1,7,21,0,206.83,healthcare,2,1
amex_C18,amex,1,1,1,1,0,0,1,8,47,0,4068.29,ecommerce,2,1
visa_10.3,visa,0,1,1,1,0,1,0,10,62,4,10494.24,ecommerce,2,1
visa_13.5,visa,1,1,0,0,1,0,0,25,60,0,1315.19,retail,2,1
rupay_1085,rupay,1,0,0,1,0,1,1,35,35,2,715.43,saas,0,0
mc_4871,mc,1,0,1,1,0,0,0,35,44,1,17558.02,fintech,2,1
mc_4812,mc,1,0,0,1,1,0,0,15,90,0,1013.34,travel,2,1
visa_10.4,visa,1,1,1,0,0,0,1,36,13,0,2837.12,saas,1,1
visa_12.5,visa,0,0,1,0,1,0,1,11,119,3,3161.85,travel,0,0
visa_12.5,visa,1,1,0,0,0,0,0,37,97,0,3395.27,ecommerce,0,1
amex_C02,amex,1,1,0,1,1,1,0,2,3,0,2782.0,travel,2,0
visa_13.9,visa,1,1,1,1,1,0,0,44,90,8,2317.16,travel,2,0
rupay_1065,rupay,0,1,0,1,1,0,0,16,97,0,5777.45,retail,2,1
rupay_1065,rupay,0,1,1,0,1,0,0,41,33,0,5934.36,ecommerce,2,1
rupay_1085,rupay,0,0,1,1,1,0,0,2,1,0,18300.99,travel,2,1
amex_R13,amex,1,1,1,0,1,1,1,24,116,0,1510.35,ecommerce,2,1
amex_P08,amex,1,1,1,0,0,0,0,35,80,8,1647.95,travel,2,0
visa_13.5,visa,1,1,1,0,1,0,0,22,119,0,7230.27,ecommerce,2,1
disc_nan,disc,1,0,1,1,1,0,1,19,4,0,8395.75,healthcare,2,1
visa_13.2,visa,0,0,0,1,0,1,0,31,99,8,726.69,travel,0,0
visa_13.6,visa,1,1,1,1,0,1,1,24,114,1,36984.56,healthcare,0,0
visa_10.1,visa,1,0,0,0,1,0,0,26,99,0,7663.98,retail,2,1
visa_13.4,visa,1,0,1,1,0,0,1,15,92,1,4716.78,healthcare,2,1
rupay_1065,rupay,1,1,0,0,1,0,0,15,54,0,3263.93,fintech,2,1
rupay_1085,rupay,1,0,1,0,0,0,1,40,52,0,28029.9,saas,0,0
rupay_ru01,rupay,1,1,1,0,0,0,0,9,12,0,1622.45,saas,1,1
visa_12.5,visa,1,1,0,0,0,1,1,5,22,1,491.14,fintech,2,1
mc_4834,mc,1,1,1,1,0,0,1,5,76,0,11629.87,retail,2,0
rupay_1062,rupay,1,1,1,1,1,1,0,10,19,0,15630.8,saas,2,1
rupay_1065,rupay,1,1,1,1,1,1,0,35,33,0,6410.51,healthcare,2,1
amex_F10,amex,1,0,0,1,0,0,0,35,87,0,3173.26,saas,0,1
rupay_1085,rupay,1,0,1,1,1,0,1,36,89,2,2750.67,retail,2,1
