session_id,cart_value,payment_method,device,diagnosis,duration_sec,attempt_count,events_count,sequence_entropy,mean_inter_event_time,is_returning_customer,assigned_action,realized_outcome,realized_rto,true_propensity_score,pi_0_none,pi_0_wa,pi_0_sms,pi_0_email
sess_42_000000,562.25,upi,mobile_android,price_shock_breakdown,182,1,5,0.883,36.4,0,sms,0,0,0.40318370559932304,0.2986858353899521,0.13420819701225414,0.40318370559932304,0.16392226199847068
sess_42_000001,4242.29,card,mobile_android,price_shock_breakdown,600,1,8,0.865,75.0,0,email,1,0,0.12925933258824335,0.11695868075619749,0.579300138099923,0.17448184855563614,0.12925933258824335
sess_42_000002,395.67,upi,mobile_android,upi_app_switch_abort,73,2,12,0.778,6.08,0,none,1,0,0.22776474356861084,0.22776474356861084,0.3397850697075843,0.30745024516137914,0.12499994156242572
sess_42_000003,6049.93,cod,mobile_ios,price_shock_breakdown,530,2,10,0.804,53.0,0,sms,0,0,0.17448184855563614,0.11695868075619749,0.579300138099923,0.17448184855563614,0.12925933258824335
sess_42_000004,1492.4,upi,mobile_android,genuine_browse_abandon,343,1,6,0.876,57.17,0,none,0,0,0.6457304331194986,0.6457304331194986,0.10673852268549665,0.17598207275468647,0.07154897144031824
sess_42_000005,2383.71,cod,mobile_android,genuine_browse_abandon,164,1,10,0.82,16.4,0,sms,0,0,0.10491105892118391,0.7014242657747766,0.11594465130421318,0.10491105892118391,0.07772002399982632
sess_42_000006,4009.67,upi,mobile_android,price_shock_breakdown,600,1,9,0.442,66.67,0,whatsapp,1,1,0.579300138099923,0.11695868075619749,0.579300138099923,0.17448184855563614,0.12925933258824335
sess_42_000007,1150.67,netbanking,mobile_ios,price_shock_breakdown,529,2,12,0.834,44.08,0,sms,0,0,0.3631189468483686,0.26900513210002774,0.2202427743860977,0.3631189468483686,0.14763314666550595
sess_42_000008,2833.27,upi,mobile_android,upi_app_switch_abort,437,1,5,0.826,87.4,1,whatsapp,1,0,0.8204386747606477,0.049994806056778376,0.8204386747606477,0.07442851737376392,0.0551380018088101
sess_42_000009,839.1,netbanking,mobile_android,price_shock_breakdown,254,1,6,0.478,42.33,1,none,1,0,0.26900513210002774,0.26900513210002774,0.2202427743860977,0.3631189468483686,0.14763314666550595
sess_42_000010,1118.04,cod,mobile_android,price_shock_breakdown,170,2,11,0.713,15.45,0,sms,0,0,0.3631189468483686,0.26900513210002774,0.2202427743860977,0.3631189468483686,0.14763314666550595
sess_42_000011,2510.49,upi,mobile_android,upi_app_switch_abort,248,1,6,0.654,41.33,1,whatsapp,1,0,0.8204386747606477,0.049994806056778376,0.8204386747606477,0.07442851737376392,0.0551380018088101
sess_42_000012,2471.1,upi,mobile_ios,genuine_browse_abandon,168,1,6,0.734,28.0,0,sms,0,0,0.10491105892118391,0.7014242657747766,0.11594465130421318,0.10491105892118391,0.07772002399982632
sess_42_000013,2370.51,upi,mobile_android,vpa_validation_failure,600,1,6,0.749,100.0,0,none,1,0,0.32171299457016933,0.32171299457016933,0.2633963223194074,0.23833084820766,0.17655983490276325
sess_42_000014,5475.47,card,mobile_android,genuine_browse_abandon,386,1,6,0.621,64.33,0,sms,0,0,0.11931676263392972,0.39614560278704986,0.39614560278704986,0.11931676263392972,0.0883920317919707
sess_42_000015,1706.39,upi,mobile_android,upi_app_switch_abort,166,3,14,0.918,11.86,1,none,1,0,0.1996840325575982,0.1996840325575982,0.5427974771347435,0.14792956969787008,0.10958892060978828
sess_42_000016,6039.46,upi,mobile_android,upi_app_switch_abort,182,1,4,0.62,45.5,0,whatsapp,1,1,0.8204386747606477,0.049994806056778376,0.8204386747606477,0.07442851737376392,0.0551380018088101
sess_42_000017,1891.71,upi,mobile_ios,price_shock_breakdown,442,2,12,0.835,36.83,1,whatsapp,0,0,0.2633963223194074,0.32171299457016933,0.2633963223194074,0.23833084820766,0.17655983490276325
sess_42_000018,2842.35,upi,mobile_android,price_shock_breakdown,281,1,7,0.846,40.14,0,whatsapp,0,0,0.579300138099923,0.11695868075619749,0.579300138099923,0.17448184855563614,0.12925933258824335
