session_id,cart_value,payment_method,device,diagnosis,duration_sec,attempt_count,events_count,sequence_entropy,mean_inter_event_time,is_returning_customer,assigned_action,realized_outcome,realized_rto,true_propensity_score,pi_0_none,pi_0_wa,pi_0_sms,pi_0_email
sess_42_000000,2693.52,upi,mobile_android,price_shock_breakdown,456,2,9,0.582,50.67,0,whatsapp,0,0,0.579300138099923,0.11695868075619749,0.579300138099923,0.17448184855563614,0.12925933258824335
sess_42_000001,1029.21,upi,desktop,otp_timeout,191,1,9,0.635,21.22,0,sms,0,0,0.5468864821310532,0.14904395356123945,0.12202686834091331,0.5468864821310532,0.18204269596679412
sess_42_000002,3246.79,upi,mobile_android,price_shock_breakdown,87,1,8,0.861,10.88,0,whatsapp,0,0,0.579300138099923,0.11695868075619749,0.579300138099923,0.17448184855563614,0.12925933258824335
sess_42_000003,1129.04,upi,mobile_ios,upi_app_switch_abort,352,1,7,0.847,50.29,0,whatsapp,1,1,0.483942482820616,0.1780324901391686,0.483942482820616,0.24031872484904457,0.0977063021911707
sess_42_000004,2997.06,upi,mobile_android,genuine_browse_abandon,578,2,7,0.858,82.57,1,none,0,0,0.39614560278704986,0.39614560278704986,0.39614560278704986,0.11931676263392972,0.0883920317919707
sess_42_000005,2241.53,card,mobile_ios,genuine_browse_abandon,571,1,8,0.86,71.38,0,email,0,0,0.07772002399982632,0.7014242657747766,0.11594465130421318,0.10491105892118391,0.07772002399982632
sess_42_000006,1527.15,cod,mobile_android,otp_timeout,89,2,8,0.853,11.12,0,sms,0,0,0.45962498828569537,0.2282430144379751,0.18686957509559202,0.45962498828569537,0.12526242218073758
sess_42_000007,1209.57,upi,mobile_android,price_shock_breakdown,484,2,12,0.685,40.33,0,whatsapp,0,0,0.2202427743860977,0.26900513210002774,0.2202427743860977,0.3631189468483686,0.14763314666550595
sess_42_000008,1997.97,netbanking,mobile_ios,upi_app_switch_abort,312,1,9,0.611,34.67,0,none,1,0,0.1996840325575982,0.1996840325575982,0.5427974771347435,0.14792956969787008,0.10958892060978828
sess_42_000009,1924.24,cod,mobile_android,genuine_browse_abandon,287,2,11,0.923,26.09,1,sms,1,0,0.10491105892118391,0.7014242657747766,0.11594465130421318,0.10491105892118391,0.07772002399982632
sess_42_000010,824.75,cod,mobile_android,otp_timeout,408,1,8,0.813,51.0,0,sms,0,0,0.6078175404546194,0.16564960413762098,0.13562242514266395,0.6078175404546194,0.09091043026509557
sess_42_000011,2839.99,cod,mobile_android,price_shock_breakdown,111,1,8,0.439,13.88,1,whatsapp,0,0,0.579300138099923,0.11695868075619749,0.579300138099923,0.17448184855563614,0.12925933258824335
sess_42_000012,4304.92,upi,mobile_ios,genuine_browse_abandon,142,2,9,0.514,15.78,0,whatsapp,0,0,0.39614560278704986,0.39614560278704986,0.39614560278704986,0.11931676263392972,0.0883920317919707
sess_42_000013,3447.6,upi,mobile_ios,upi_app_switch_abort,373,1,9,0.778,41.44,1,whatsapp,1,0,0.8204386747606477,0.049994806056778376,0.8204386747606477,0.07442851737376392,0.0551380018088101
sess_42_000014,2289.93,card,mobile_android,genuine_browse_abandon,198,2,11,0.826,18.0,0,none,0,0,0.7014242657747766,0.7014242657747766,0.11594465130421318,0.10491105892118391,0.07772002399982632
sess_42_000015,1290.19,card,mobile_android,price_shock_breakdown,382,3,11,0.499,34.73,0,whatsapp,0,0,0.2202427743860977,0.26900513210002774,0.2202427743860977,0.3631189468483686,0.14763314666550595
sess_42_000016,1991.63,card,mobile_android,price_shock_breakdown,600,1,7,0.71,85.71,0,sms,0,0,0.23833084820766,0.32171299457016933,0.2633963223194074,0.23833084820766,0.17655983490276325
sess_42_000017,1638.28,netbanking,mobile_android,otp_timeout,215,2,10,0.722,21.5,0,whatsapp,1,1,0.18686957509559202,0.2282430144379751,0.18686957509559202,0.45962498828569537,0.12526242218073758
sess_42_000018,1984.71,card,mobile_android,genuine_browse_abandon,446,1,7,0.631,63.71,1,email,0,0,0.07772002399982632,0.7014242657747766,0.11594465130421318,0.10491105892118391,0.07772002399982632
sess_42_000019,3649.45,cod,mobile_ios,price_shock_breakdown,537,1,9,0.711,59.67,0,whatsapp,0,0,0.579300138099923,0.11695868075619749,0.579300138099923,0.17448184855563614,0.12925933258824335
sess_42_000020,1667.34,netbanking,mobile_android,price_shock_breakdown,134,1,8,0.458,16.75,1,email,0,0,0.17655983490276325,0.32171299457016933,0.2633963223194074,0.23833084820766,0.17655983490276325
sess_42_000021,455.78,cod,mobile_android,price_shock_breakdown,195,1,10,0.646,19.5,0,whatsapp,0,0,0.13420819701225414,0.2986858353899521,0.13420819701225414,0.40318370559932304,0.16392226199847068
sess_42_000022,3293.35,card,mobile_android,price_shock_breakdown,249,2,10,0.526,24.9,0,none,0,0,0.11695868075619749,0.11695868075619749,0.579300138099923,0.17448184855563614,0.12925933258824335
